true,hybrid,strata
702851.0,2980583.6308272504,Q1
200000.0,2474656.6540010995,Q3
6.0,8749768.489632193,Q1
2900000.0,8018244.662627425,Q1
10000.0,1657024.3332801878,Q3
2300000.0,21483507.650393184,Q1
284881603.0,176777516.28711328,Q5
9.0,1178195.920112072,Q2
56241417.0,8625683.322404662,Q1
125983972.0,-3084655.5854901187,Q2
300000.0,2412967.577753762,Q3
228894.0,26627646.87268858,Q1
3700000.0,2656088.3468262646,Q3
50000.0,3369369.5621150117,Q4
5399340.0,15586693.37539974,Q5
7369373.0,24280374.257693768,Q1
4000000.0,3463151.590232294,Q4
700381748.0,225093246.56216133,Q5
30000.0,2595182.7096451377,Q3
16559.0,11692064.908546282,Q1
2049844.0,14735992.589995174,Q2
24.0,2988364.23856387,Q2
8654110.0,8893828.162299734,Q1
24400000.0,2759925.742924166,Q4
3300000.0,2505479.4504198832,Q4
20725409.0,19378534.740315218,Q2
13975.0,4753260.315218714,Q2
3.0,2028566.8673243504,Q2
2000000.0,2927007.096196357,Q4
382454.0,2746809.9981914256,Q4
55000.0,-670081.5495608929,Q3
8838757.0,2647338.8478756775,Q1
6700000.0,5731798.402681498,Q1
38068353.0,20234299.851968467,Q5
3100000.0,3095312.690171637,Q4
806000.0,3384416.9917730945,Q4
1782801.0,3526663.2599166404,Q4
2200000.0,3622563.23325218,Q4
15714.0,7837899.907303479,Q1
3282232.0,9321513.237823475,Q2
1015000.0,3912703.565332831,Q4
400000.0,10616732.927543173,Q5
161626121.0,161816283.60712278,Q5
24640027.0,20734071.054934844,Q2
10000.0,1641464.9182124832,Q3
150.0,2260719.1476272806,Q2
100000.0,1661276.8879691209,Q3
1453270.0,15599067.798431616,Q5
5000.0,1491263.2011814788,Q3
1800.0,18856939.871272154,Q5
56150957.0,81145798.36113515,Q5
769481.0,40713819.18180509,Q5
21156270.0,28320650.92426454,Q5
2400000.0,13011522.063199906,Q1
500.0,1519672.33334683,Q3
9800000.0,3494146.5847392636,Q4
6423381.0,18856939.871272154,Q5
78720293.0,73062236.56012541,Q5
4300.0,1488461.0996670602,Q3
200000.0,1745142.6051698374,Q3
21000000.0,15919821.025006153,Q5
2800000.0,3460306.767616085,Q4
1500.0,1488461.0996670602,Q3
50.0,2309541.385128549,Q2
557169.0,9360722.072258571,Q1
1920000.0,3432988.875836212,Q4
2600000.0,10573224.217286203,Q5
9600000.0,3835221.4311061813,Q4
275000.0,2503601.042870809,Q3
10743000.0,15691371.091623276,Q5
81455.0,15057218.856880266,Q2
19.0,2304510.310200033,Q2
3900000.0,3668283.217102948,Q4
190000.0,4239319.553353729,Q3
1144000.0,3894683.9437569752,Q4
10882920.0,8972380.97835991,Q1
128015.0,591689.9060143377,Q1
1594955.0,30143138.88110364,Q5
440.0,846102.6196402967,Q2
1000.0,1465187.3855440984,Q3
500000.0,2728847.739837774,Q4
1.0,-4973676.535121391,Q1
354877.0,2437227.1775008827,Q3
7700000.0,3907320.1972841877,Q4
4000000.0,3545209.0537987878,Q4
2.0,2714985.5289250375,Q4
3700000.0,3762351.047623799,Q4
4444.0,3045516.2577653984,Q1
204000.0,2047428.6705266521,Q3
252909177.0,73062236.56012541,Q5
100000.0,1657024.3332801878,Q3
