true,hybrid,strata
200000.0,3061854.851077741,Q3
6.0,8668264.425325586,Q1
2900000.0,9493323.33706781,Q1
10000.0,742720.2680382724,Q3
2300000.0,10382899.509044457,Q1
284881603.0,165931779.5298007,Q5
9.0,509152.34927466215,Q2
56241417.0,10887719.138546135,Q1
125983972.0,19627997.584405478,Q2
300000.0,3513133.405563396,Q3
228894.0,19061593.898849968,Q1
3700000.0,2256900.074832299,Q3
50000.0,3134821.8141635214,Q4
5399340.0,13923413.234268276,Q5
7369373.0,13342795.842586279,Q1
4000000.0,3361047.8628837196,Q4
700381748.0,363975284.69991374,Q5
30000.0,1913066.524317768,Q3
16559.0,13362194.169994742,Q1
2049844.0,17945004.858864684,Q2
24.0,649310.241297416,Q2
8654110.0,8594894.810249101,Q1
24400000.0,3536188.375206458,Q4
3300000.0,2554660.2217955627,Q4
20725409.0,16358748.732902378,Q2
13975.0,9594484.533822745,Q2
3.0,696335.5384108883,Q2
2000000.0,2388200.3430636576,Q4
382454.0,2470851.3666777103,Q4
55000.0,1909579.9394455831,Q3
8838757.0,2390826.5665090205,Q1
6700000.0,5172877.454532442,Q1
38068353.0,14500900.23131694,Q5
3100000.0,2443825.05407679,Q4
806000.0,2952737.725381355,Q4
1782801.0,3630319.5160870776,Q4
2200000.0,3059502.1841772,Q4
15714.0,7696268.290642697,Q1
3282232.0,8114605.4837150555,Q2
1015000.0,3273264.991513644,Q4
400000.0,9260955.217730457,Q5
161626121.0,140925354.94687587,Q5
24640027.0,20093487.173143126,Q2
10000.0,742099.8587764322,Q3
150.0,539949.3972631985,Q2
100000.0,735607.1854132569,Q3
1453270.0,11425787.078431776,Q5
5000.0,758997.6916941197,Q3
1800.0,17794331.625918314,Q5
56150957.0,68171157.82763731,Q5
769481.0,49865062.431192964,Q5
21156270.0,21444606.904883146,Q5
2400000.0,8625619.610435532,Q1
500.0,759044.1089869011,Q3
9800000.0,3970433.1031603,Q4
6423381.0,17483935.849978946,Q5
78720293.0,84571706.34283769,Q5
4300.0,759044.1089869011,Q3
200000.0,3408651.25607183,Q3
21000000.0,12771097.683579758,Q5
2800000.0,3078128.619150346,Q4
1500.0,759044.1089869011,Q3
50.0,542527.2936955483,Q2
557169.0,8465195.380272882,Q1
1920000.0,2951831.0423474866,Q4
2600000.0,9053345.659214398,Q5
9600000.0,3741372.9765528776,Q4
275000.0,2687944.3769794414,Q3
10743000.0,12220717.966078844,Q5
81455.0,11273083.788813576,Q2
19.0,557319.2209581332,Q2
3900000.0,4202590.930484547,Q4
190000.0,6857875.407739077,Q3
1144000.0,3123591.8770263013,Q4
10882920.0,8314566.1181270685,Q1
128015.0,2787424.48914212,Q1
1594955.0,27542310.629899718,Q5
440.0,509152.34927466215,Q2
1000.0,741721.7185179545,Q3
500000.0,2355934.347477505,Q4
1.0,1703819.2695712445,Q1
354877.0,2481723.898386323,Q3
7700000.0,3734048.508720694,Q4
4000000.0,3844239.4768626387,Q4
2.0,2453311.6354684774,Q4
3700000.0,3085508.416743048,Q4
4444.0,2685487.127586618,Q1
204000.0,3348375.333022422,Q3
252909177.0,108343195.3915561,Q5
100000.0,739453.5552723753,Q3
1000000.0,2444061.49927375,Q4
1000.0,542525.2524779629,Q2
6069605.0,32104103.49957551,Q5
325000.0,3353558.3940201313,Q3
368307760.0,253997009.7153895,Q5
